,track_name,ひらがな名,image_urls,view_count,喜び,喜びスコアの理由,信頼,信頼スコアの理由,恐れ,恐れスコアの理由,驚き,驚きスコアの理由,悲しみ,悲しみスコアの理由,嫌悪,嫌悪スコアの理由,怒り,怒りスコアの理由,期待,期待スコアの理由,release_date_y
70,えりあし,えりあし,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa360812c2cb.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa360812c4cc.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b883e.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b8a24.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",550747,40,歌詞には愛情や思い出が含まれており、特に『愛しくて仕方なかった』という表現が喜びを示していますが、全体的には切ないトーンが強いです。,50,『真っすぐな優しさ』や『変わらない想い』といった表現から、信頼感が感じられますが、過去の出来事に対する後悔も含まれています。,30,恐れの感情はあまり強くありませんが、『息は苦しくなった』という部分に少し恐れが含まれている可能性があります。,20,驚きの感情はほとんど表現されていませんが、『最後に気付く儚き愚か者』という部分に少し驚きが含まれているかもしれません。,70,『儚き愚か者』や『胸が痛い』といった表現が、後悔や切なさを強く表しており、悲しみの感情が強く感じられます。,20,嫌悪の感情はあまり表現されていませんが、『ぶったりしてごめんね』という部分に少し自己嫌悪が含まれている可能性があります。,10,怒りの感情はほとんど表現されていません。歌詞全体が穏やかで内省的なトーンです。,60,『5年後あなたを見つけたら』や『変わらない想いだけを抱きしめて』といった未来への希望や期待が感じられます。,2003/11/6
71,熱,ねつ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']""]",108666,85,歌詞には『あなたがいるとそれだけでうれしい』という表現があり、全体的に幸福感が強く表現されています。,70,『あなたが好き』という表現から、相手に対する信頼感が感じられます。,30,『さよならが嫌い』という部分に、別れに対する恐れが少し感じられます。,20,特に驚きを示す表現は少ないですが、『胸がこそばゆい』という感情の高まりが少し驚きに繋がるかもしれません。,25,『さよならが嫌い』という部分に、別れの悲しみが少し含まれています。,10,嫌悪を示す表現はほとんどなく、全体的にポジティブな感情が強いです。,5,怒りを示す表現は全くなく、非常に低いスコアです。,75,『あなたとキスしたい』という未来への期待感が強く表現されています。,2003/11/27
72,彼の落書き,かれのらくがき,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']""]",220061,40,歌詞には愛情や期待が含まれており、特に相手への強い思いが表現されていますが、全体的に不安や悲しみが強調されているため、喜びのスコアは低めです。,30,相手に対する期待や願いがあるものの、連絡がないことや不安が強調されており、信頼感はあまり高くありません。,50,相手からの連絡がないことや、心が冷えてしまうことへの不安が表現されており、恐れのスコアは中程度です。,20,歌詞には驚きの要素はあまり含まれておらず、むしろ予測可能な感情が多いため、驚きのスコアは低めです。,70,連絡がないことや、心が冷えてしまうことへの悲しみが強く表現されており、悲しみのスコアは高めです。,20,嫌悪感はあまり表現されておらず、むしろ相手への強い思いが中心となっているため、嫌悪のスコアは低めです。,30,相手からの連絡がないことに対する不満が少し表現されていますが、怒りよりも悲しみや不安が強調されています。,60,相手からの連絡を待ち望む気持ちや、未来への期待が表現されており、期待のスコアは比較的高めです。,2003/11/27
73,ふれていたい,ふれていたい,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']""]",125842,85,歌詞全体に幸せや愛情が溢れており、特に『小さく微笑む』や『幸せ』といった表現が喜びを強調しています。,80,『不器用な程真っ直ぐなあなたの側にいたい』という表現から、相手への信頼感が強く感じられます。,10,歌詞には恐れを示す直接的な表現はほとんどなく、全体的にポジティブな内容です。,20,驚きの要素は少ないですが、『目に見えない物が優しくあたしを小さく動かす』という表現に少しの驚きが含まれています。,15,『大事な想い壊さぬ様に』という部分に少しの不安や悲しみが感じられますが、全体的にはポジティブです。,5,歌詞には嫌悪を示す表現はほとんどなく、全体的に愛情に満ちています。,5,怒りを示す表現はなく、全体的に穏やかで愛情深い内容です。,75,『ゆっくりゆっくり埋めてゆこう』や『二人で今行こう』といった未来への期待感が強く表れています。,2003/11/27
74,夢のダンス,ゆめのだんす,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b883e.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b8a24.jpg']""]",198064,70,歌詞には幸せや夢を与えてくれる存在についての言及があり、感謝や喜びの感情が表現されています。,60,『日々共に息を吸うのはあなたと決まっている気がしてた』というフレーズから、信頼感が感じられます。,40,『胸がつぶれそう』という表現から、何かを失うことへの恐れが感じられます。,30,『初めて感じたこの気持ち』というフレーズから、新しい感情に対する驚きが少し感じられます。,65,『あなたは近くて遠い人 悔しかった』という表現から、距離感や失望による悲しみが強く表現されています。,20,嫌悪感はあまり表現されていませんが、『つまらぬ事で痛みを持ち』という部分に少し感じられます。,25,『悔しかった』という表現から、少しの怒りやフラストレーションが感じられます。,50,『あなたとダンスをもう一度 永久に歌った』というフレーズから、未来への期待感が表現されています。,2003/11/27
75,ライン,らいん,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']""]",98817,10,歌詞全体に喜びを感じさせる要素は少なく、むしろ不安や悲しみが強調されている。,20,信頼に関する言及は少なく、むしろ不安や疑念が表現されている。,70,愛する人を失うことへの恐れや、関係の不確かさが強く表現されている。,30,驚きの要素は少ないが、関係の変化に対する戸惑いが感じられる。,80,愛する人との関係の喪失や不安が強く表現され、全体的に悲しみが支配的。,40,自己嫌悪や状況に対する不満が感じられるが、強い嫌悪感はない。,30,怒りよりも悲しみや不安が強調されているが、少しの苛立ちが感じられる。,20,期待感はほとんどなく、むしろ失望や不安が表現されている。,2003/11/27
76,すべての夜,すべてのよる,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']""]",95488,70,歌詞には、夜の輝きや新しい奇跡に涙を流すといったポジティブな表現が含まれており、喜びの感情が感じられます。,65,『ついておいで』や『あなただけに解る』といったフレーズから、信頼や親密さが表現されています。,40,『震えてしまう程』や『知らない事を恐れたりしないで』といった表現が恐れを示唆していますが、全体的には克服しようとする意図が強いです。,50,『新しい奇跡に涙を流そう』というフレーズから、驚きや感動の要素が含まれています。,45,『夜はそんなに辛く悲しいの?』という問いかけや、過去の辛い経験を示唆する部分が悲しみを表しています。,20,嫌悪を直接示す表現は少なく、全体的にポジティブなメッセージが強調されています。,15,怒りを示す直接的な表現はほとんどなく、感情の焦点は他の部分にあります。,75,『あなたの両手で計る未来』や『新しい奇跡』といったフレーズから、未来への期待感が強く表現されています。,2003/11/27
77,白い服黒い服,しろいふくくろいふく,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']""]",95034,80,歌詞には『笑えます様に』や『素晴らしい光』といったポジティブな表現が多く、喜びの感情が強く感じられます。,85,『いつ何時もあたしあなたの力になりたい』や『お返しにしっかり頷いて』といった表現から、深い信頼関係が伺えます。,20,恐れの感情はあまり表現されていませんが、『雨が止まずにあなたを更に切なくさせた』という部分に少しだけ不安が感じられます。,10,驚きの感情は特に表現されておらず、全体的に穏やかなトーンです。,40,『雨が止まずにあなたを更に切なくさせた』という表現から、少しの悲しみが感じられます。,5,嫌悪の感情はほとんど表現されていません。,5,怒りの感情は特に表現されておらず、全体的に穏やかなトーンです。,75,『笑えます様に』や『素晴らしい光』といった未来への期待や希望が感じられます。,2003/11/27
78,風招き,かぜおき,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']""]",91394,20,歌詞全体に悲しみや孤独感が漂っており、喜びの要素は少ないが、時折希望や願望が垣間見える。,15,信頼に関する直接的な表現は少なく、むしろ不安や孤独感が強調されている。,60,孤独や不安、心細さが歌詞の中で繰り返し表現されており、恐れの感情が強く感じられる。,10,驚きに関する要素はほとんどなく、感情の変化も穏やかである。,80,涙や孤独、心細さが繰り返し表現されており、全体的に悲しみが支配的な感情である。,25,自己嫌悪や状況に対する不満が感じられるが、強い嫌悪感は表現されていない。,20,怒りというよりは、状況に対する不満や諦めが表現されている。,30,未来への希望や願望が少し見られるが、全体的には悲観的なトーンが強い。,2003/11/27
79,天の川,あまのがわ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca05afbba05.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa35fe10c306.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e54011a97.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29056d4491.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fcf71aa09e91.jpg']""]",179661,85,歌詞には『うれしい』という言葉が何度も使われており、愛情や幸福感が表現されています。また、特別な関係性を感じる描写が多く、全体的にポジティブな感情が強調されています。,80,『誰よりもあなたは解ってる』というフレーズから、相手に対する深い信頼感が伝わります。歌詞全体を通して、相手との関係が安定していることが示唆されています。,20,恐れの感情はあまり強調されていませんが、『薄着だから肌寒い』や『暗くなれば流した涙』といった不安や心配を感じさせる部分が少しあります。,30,驚きの感情はあまり強くありませんが、『ありふれた様に見えて特別だって事』というフレーズから、日常の中にある特別な瞬間への驚きが少し感じられます。,25,『流した涙』や『この空散りばめる砂に只消える』といった表現から、少しの悲しみや切なさが感じられますが、全体的にはポジティブな感情が優勢です。,10,嫌悪の感情はほとんど見られません。歌詞全体が愛情や幸福感を中心に描かれているため、ネガティブな感情は少ないです。,5,怒りの感情はほとんど表現されていません。歌詞は主にポジティブな感情に焦点を当てています。,75,『電話してね 今夜も』や『精一杯今日をどうにか生きて』といったフレーズから、相手との関係が続くことへの期待感が強く感じられます。,2003/11/27
80,猫,ねこ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e5b9e672c.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2ab0751991.jpg']""]",78579,70,歌詞には愛情や親密さを感じる表現が多く、特に『あなたを好きになった事』というフレーズが繰り返されているため、喜びの感情が強く表れています。,65,『あなたの胸の上で眠る』や『離れずこのまま傍にいて』といったフレーズから、相手に対する信頼感が感じられます。,30,『もう後戻りは出来ないんだ』という表現から、関係の進展に対する不安や恐れが少し感じられます。,20,歌詞全体に驚きの要素は少なく、感情の変化や意外性はあまり見られません。,50,『涙を流した』という表現が繰り返され、愛情の中にある切なさや悲しみが感じられます。,10,歌詞には嫌悪感を示す表現はほとんどなく、全体的にポジティブな感情が多いです。,15,『少し位なら抵抗してもいいよ』という表現にわずかな怒りや反発心が感じられる程度です。,60,『大事な印になるって 知ってた?』というフレーズから、未来への期待や希望が感じられます。,2004/4/28
81,テレビゲーム,てれびげーむ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e5b9e672c.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2ab0751991.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",62616,70,歌詞には、友人を気遣い、リラックスした時間を共に過ごす提案が含まれており、優しさや楽しさが感じられるため。,80,歌詞の中で、相手を信じ続ける姿勢や、試練を共に乗り越えようとする意志が示されているため。,20,恐れの感情はあまり強調されておらず、むしろ試練を前向きに捉える姿勢が見られるため。,30,驚きの要素は少ないが、相手の行動や感情に対する新たな発見や気づきがあるため。,40,涙を我慢する場面や、嫌なことがあった時の描写があるため、一定の悲しみが感じられる。,10,嫌悪感はほとんどなく、むしろ相手を受け入れようとする姿勢が強調されているため。,15,怒りの感情はほとんど表現されておらず、むしろ穏やかに問題を解決しようとする姿勢が見られるため。,60,相手の成長や関係の改善を期待するような前向きなメッセージが含まれているため。,2004/4/28
82,かばん,かばん,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e5b9e672c.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2ab0751991.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a87283fc0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a872841ed.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e65277053.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29056d4491.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fcf71aa09e91.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",344176,75,歌詞には愛情や幸福感が多く含まれており、特に『ずっとあなたの事が好きだったんだよ』という表現が喜びを強調しています。,65,『優しい両手が見えた』という部分から、相手に対する信頼感が感じられます。,30,『潰れそうな狭間で』という表現が不安や恐れを示唆していますが、全体的には恐れの感情は強くありません。,40,『鼻の奥がツーンとなる』や『この気持ちは止まらない』といった表現が驚きや新鮮な感情を示しています。,50,『今泣きながら笑いながら』という部分が、悲しみと喜びが混在する複雑な感情を表しています。,10,歌詞全体に嫌悪感を示す表現はほとんどなく、非常に低いスコアです。,15,『もう放して 許して』という部分にわずかな怒りが感じられますが、全体的には怒りの感情は少ないです。,70,『一緒に知りたい』や『心の中で想ってる』といった表現が、未来への期待感を強く示しています。,2004/4/28
83,花風,はなかぜ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2aa46f010f.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2aa46f0312.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a87283fc0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a872841ed.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e65277053.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",200438,85,歌詞には、日差しや花風、奇跡のような恋といったポジティブなイメージが多く、全体的に幸福感が漂っているため。,80,『生まれ変わってもあなたを見つける』というフレーズから、深い信頼と絆が感じられるため。,20,『臆病なあたしの胸で』という表現があるが、全体的に恐れの感情は少ないため。,30,『奇跡の様な恋』という表現が驚きを示しているが、他の部分では驚きの要素は少ないため。,25,『昨日の涙は乾き』という部分に悲しみが含まれているが、全体的にはポジティブな内容が多いため。,10,歌詞全体に嫌悪感を示す表現はほとんどなく、ポジティブな感情が中心であるため。,5,怒りを示す表現は見当たらず、全体的に穏やかな感情が描かれているため。,75,『生まれ変わってもあなたを見つける』や『雨が止んで晴れる様に』といった未来への期待感が強く表現されているため。,2004/9/1
84,洗面所,せんめんじょ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2aa46f010f.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2aa46f0312.jpg']""]",70922,20,歌詞全体に過去の愛しい日々への懐かしさが感じられるが、現在の喜びは少ない。,30,過去の関係における信頼感が示唆されているが、現在の状況では信頼が揺らいでいる。,50,愛しい日々が記憶の中で消えていくことへの恐れが表現されている。,10,驚きの要素は少なく、むしろ予期していた別れや変化が描かれている。,80,愛しい日々が過去のものとなり、現在の孤独感や喪失感が強く表現されている。,10,嫌悪感はほとんどなく、むしろ過去の愛情に対する未練が感じられる。,20,直接的な怒りは少ないが、状況に対する不満や無力感がわずかに感じられる。,40,いつか思い出を微笑みながら話せる日が来ることへの期待が示されている。,2004/9/1
85,ポニーテール,ぽにーてーる,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2aa46f010f.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2aa46f0312.jpg']""]",83676,70,歌詞には、特定の人に対する深い愛情や感謝の気持ちが表現されており、特に『あなたの事だけは忘れないよ』というフレーズから喜びが感じられます。,80,『諦めずにいてくれたから』という部分から、相手に対する強い信頼感が伝わってきます。,40,『頭がおかしくなったって心が空っぽになったって』という表現から、何かを失うことへの恐れが感じられます。,30,驚きの要素はあまり強くなく、歌詞全体が穏やかで感情的なトーンを持っています。,50,『笑顔はもういらないと顔背けた』という部分から、過去の悲しみや苦しみが感じられます。,20,嫌悪感はほとんどなく、むしろポジティブな感情が多く含まれています。,10,怒りの感情はほとんど表現されておらず、全体的に穏やかなトーンです。,60,『だからいつもできるだけ近くにいてね』というフレーズから、未来への期待や希望が感じられます。,2004/9/1
86,三国駅,さんごくえき,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/mikunieki_240_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a87283fc0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a872841ed.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e65277053.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29056d4491.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fcf71aa09e91.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",308830,70,歌詞には愛する人とのつながりや安心感が描かれており、特に『それでいい それだけでいい』というフレーズが満足感を表しています。,80,『苦しい時は助けてあげる だから安心しなさい』というフレーズから、相手への信頼感が強く表れています。,60,『もしもあなたがいなくなったら』という不安や、『怖がってみたり』という表現が恐れを示しています。,30,歌詞全体に驚きの要素は少なく、日常の中での気づきや変化が主に描かれています。,50,『持ち上がらない位に首をもたげて泣くのかなぁ』という表現が悲しみを示唆していますが、全体的にはバランスが取れています。,20,嫌悪感を直接示す表現は少なく、主に内面的な葛藤が描かれています。,25,『焦っていたのは自分で』という自己反省の中に若干の怒りが含まれていますが、全体的には穏やかです。,65,『育ってく小さな心を見落とさないでね』という未来への期待感が表れています。,2005/2/16
87,ハチミツ,はちみつ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/mikunieki_240_240.jpg']""]",98530,80,歌詞には愛や優しさ、温かさが多く表現されており、特に『愛のうた』や『素敵な顔』といったフレーズが喜びを強く感じさせます。,75,『あたしを好きでいてくれればそれでいい』というフレーズから、相手への信頼感が伝わります。また、二人の証を残すという部分も信頼を示しています。,20,恐れの感情はあまり強く表現されていませんが、『苦い苦いハチミツ忘れないように』という部分に少し不安や恐れが感じられます。,60,『あたし驚いたのは』という直接的な表現があり、驚きの感情が明確に示されています。,30,『想ってた真ん中痛い程』という表現に少し悲しみが感じられますが、全体的にはポジティブな感情が多いです。,10,嫌悪感はほとんど表現されておらず、全体的に愛や優しさが強調されています。,5,怒りの感情は歌詞中にほとんど見られず、全体的に穏やかなトーンです。,70,『ずっといつまでも消えないでいて』というフレーズから、未来への期待感が感じられます。,2005/2/16
88,小鳥公園,ことりこうえん,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/mikunieki_240_240.jpg']""]",56901,20,歌詞には遊びたい気持ちや、手を繋ぎたいという希望があるが、全体的に喜びの要素は少ない。,30,『あたしがあなたを守るの』というフレーズから、相手に対する信頼感が感じられるが、全体的には不安定な感情が多い。,40,『初めてを知ろうが怖くなかった』というフレーズがあるが、全体的に不安や恐れが背景にあるように感じられる。,10,驚きの要素はあまり見られず、日常的な出来事が描かれている。,70,『ひとりぼっち』や『寂しくないのです』といったフレーズから、孤独感や悲しみが強く表現されている。,20,『石を投げ何処かへ行ってしまえよ』というフレーズに少し嫌悪感があるが、全体的には少ない。,15,怒りの感情はあまり表現されておらず、少しの苛立ちが感じられる程度。,25,『きっと次の土曜日まで』というフレーズに期待感があるが、全体的には期待よりも不安や悲しみが強い。,2005/2/16
89,Smooch!,すむーち!,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a87283fc0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a872841ed.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e65277053.jpg']""]",128684,75,歌詞には、2人の関係が近く、心が暖かくなる瞬間が描かれており、喜びの感情が強く表現されています。,80,「絶対壊さないよ」や「信じてみて」というフレーズから、相手への信頼感が強く感じられます。,40,「最後に割れると知ってても」という部分に、関係が壊れることへの恐れが少し表現されています。,30,驚きの感情はあまり強く表現されていませんが、「一瞬だけでも」という部分に少しの驚きが含まれています。,35,「寂しいでしょ？」や「ぶつかって切れて」という部分に、関係の不安定さや寂しさが表現されています。,20,嫌悪の感情はほとんど表現されていませんが、「縺れたままで朝を迎えたりするのはあんまり好きじゃない」という部分に少し含まれています。,25,「喧嘩したらすぐに話そう」という部分に、怒りを解決しようとする意図が感じられますが、怒り自体は強く表現されていません。,70,「そこを逃すな！」や「明日あさってもあたしが隣にいる事を」という部分に、未来への期待感が強く表現されています。,2005/3/2
90,ずっと近くに,ずっとちかくに,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a87283fc0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa2a872841ed.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9e65277053.jpg']""]",100270,75,歌詞には愛情や優しさ、特に『ずっと近くにいるよ』というフレーズが繰り返され、幸福感が表現されています。,80,『ずっと近くにいるよ』という言葉や、相手が遅くまで付き合ってくれる描写から、信頼感が強く感じられます。,20,恐れの要素は少なく、むしろ安心感が強調されていますが、少しの不安が感じられる部分もあります。,30,特に驚きの要素は少ないですが、相手の優しさに対する驚きが少し含まれています。,25,歌詞には少しの不安や切なさが含まれていますが、全体的にはポジティブな感情が優勢です。,10,嫌悪感はほとんどなく、むしろ愛情や信頼が強調されています。,5,怒りの要素はほとんどなく、全体的に穏やかな感情が表現されています。,70,『早くあなたのお気に召される様に』という願望や、未来への期待感が強く表現されています。,2005/3/2
